Project,Season,State,City,Location,Address,Date,Map,Confirmed,REP(s),Assignment
"TRI-S6-001","Season 6","Maharashtra","Mumbai, National Finals","","Mumbai, National Finals, Maharashtra","25 Jan 2026","https://www.google.com/maps/search/?api=1&query=Mumbai%2C%20National%20Finals%2C%20Maharashtra","No","","Unassigned"
"IKF-S6-002","Season 6","West Bengal","Kolkata, South Dum - Dum Futsal","","Kolkata, South Dum - Dum Futsal, West Bengal","31 Jan 2026","https://www.google.com/maps/search/?api=1&query=Kolkata%2C%20South%20Dum%20-%20Dum%20Futsal%2C%20West%20Bengal","Yes","","Unassigned"
"IKF-S6-002","Season 6","Haryana","Rohtak","","Rohtak, Haryana","13 Feb 2026","https://www.google.com/maps/search/?api=1&query=Rohtak%2C%20Haryana","Yes","","Unassigned"
"TRI-S6-001","Season 6","Kerala","Idukki","Kumily VHSS Ground","Kumily VHSS Ground","14 Feb 2026","https://maps.app.goo.gl/ao4A9wKtwVUmsGdG9?g_st=aw","Yes","Masterpeice Football Academy","Assigned"
"IKF-S6-002","Season 6","Karnataka","Bengaluru, One Football Championship","","Bengaluru, One Football Championship, Karnataka","15 Feb 2026","https://www.google.com/maps/search/?api=1&query=Bengaluru%2C%20One%20Football%20Championship%2C%20Karnataka","Yes","","Unassigned"
"IKF-S6-002","Season 6","Tamil Nadu","Ranipet","","Ranipet, Tamil Nadu","22 Mar 2026","https://www.google.com/maps/search/?api=1&query=Ranipet%2C%20Tamil%20Nadu","Yes","","Unassigned"
"IKF-S6-001","Season 6","Uttar Pradesh","Mathura","","Mathura, Uttar Pradesh","22 Mar 2026","https://www.google.com/maps/search/?api=1&query=Mathura%2C%20Uttar%20Pradesh","Yes","Braj Sports Foundation","Assigned"
"TRI-S6-001","Season 6","Uttar Pradesh","Mathura","Ganeshra Stadium","Ganeshra Stadium, Keshonpur Manoharpur Dehat, Mathura, Uttar Pradesh","29 Mar 2026","https://maps.app.goo.gl/Ypxqsrq8nTKTMxrx9?g_st=ic","Yes","Braj Sports Foundation","Assigned"
"TRI-S6-001","Season 6","West Bengal","Budge Budge","Pujali municipality play ground","Pujali municipality play ground","29 Mar 2026","https://maps.app.goo.gl/fgU2y6RVTwfVVujr5?g_st=aw","Yes","Dreams 11 FC","Assigned"
"TRI-S6-001","Season 6","Haryana","Gurgaon","Fast FC","Fast FC, Sector 58, beside Heritage International School, Golf Course Extension Road, Gurugram","04 Apr 2026","https://maps.app.goo.gl/Jg2qrtobYokcuzFg8?g_st=iw","Yes","Fast FC","Assigned"
"IKF-S6-001","Season 6","Maharashtra","Pune","TopPlay Keshavnagar","TopPlay Keshavnagar, Shree Datta Colony St, Hanuman Nagar, Pune, 411036","12 Apr 2026","https://www.google.com/maps/place/TopPlay+Keshavnagar/@18.5320341,73.9505977,854m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3bc2c336925a7a8d:0x6d67ad170134471c!8m2!3d18.5320341!4d73.9505977!16s%2Fg%2F11vf73xm63!5m1!1e1!17m2!4m1!1e3!18m1!1e1?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","Yes","Pune Pioneers","Assigned"
"IKF-S6-008","Season 6","Rajasthan","Jaipur","","Jaipur, Rajasthan","19 Apr 2026","https://www.google.com/maps/search/?api=1&query=Jaipur%2C%20Rajasthan","No","","Unassigned"
"IKF-S6-007","Season 6","Uttar Pradesh","Gorakhpur, The North India School Workshop","","Gorakhpur, The North India School Workshop, Uttar Pradesh","20 Apr 2026","https://www.google.com/maps/search/?api=1&query=Gorakhpur%2C%20The%20North%20India%20School%20Workshop%2C%20Uttar%20Pradesh","Yes","","Unassigned"
"IKF-S6-007","Season 6","Uttar Pradesh","Gorakhpur, Mahatama Gandhi Inter College Workshop","","Gorakhpur, Mahatama Gandhi Inter College Workshop, Uttar Pradesh","21 Apr 2026","https://www.google.com/maps/search/?api=1&query=Gorakhpur%2C%20Mahatama%20Gandhi%20Inter%20College%20Workshop%2C%20Uttar%20Pradesh","Yes","","Unassigned"
"IKF-S6-007","Season 6","Uttar Pradesh","Gorakhpur, Army Public School Workshop","","Gorakhpur, Army Public School Workshop, Uttar Pradesh","22 Apr 2026","https://www.google.com/maps/search/?api=1&query=Gorakhpur%2C%20Army%20Public%20School%20Workshop%2C%20Uttar%20Pradesh","Yes","","Unassigned"
"IKF-S6-007","Season 6","Uttar Pradesh","Gorakhpur, Naval's Nationals Academy Workshop","","Gorakhpur, Naval's Nationals Academy Workshop, Uttar Pradesh","23 Apr 2026","https://www.google.com/maps/search/?api=1&query=Gorakhpur%2C%20Naval's%20Nationals%20Academy%20Workshop%2C%20Uttar%20Pradesh","Yes","","Unassigned"
"IKF-S6-007","Season 6","Uttar Pradesh","Gorakhpur, LFS GIDA Workshop","","Gorakhpur, LFS GIDA Workshop, Uttar Pradesh","24 Apr 2026","https://www.google.com/maps/search/?api=1&query=Gorakhpur%2C%20LFS%20GIDA%20Workshop%2C%20Uttar%20Pradesh","Yes","","Unassigned"
"IKF-S6-007","Season 6","Uttar Pradesh","Gorakhpur, Girls","","Gorakhpur, Girls, Uttar Pradesh","25 Apr 2026","https://www.google.com/maps/search/?api=1&query=Gorakhpur%2C%20Girls%2C%20Uttar%20Pradesh","Yes","","Unassigned"
"IKF-S6-007","Season 6","Uttar Pradesh","Gorakhpur, Boys","","Gorakhpur, Boys, Uttar Pradesh","26 Apr 2026","https://www.google.com/maps/search/?api=1&query=Gorakhpur%2C%20Boys%2C%20Uttar%20Pradesh","Yes","","Unassigned"
"IKF-S6-001","Season 6","Bihar","Siwan","Rani Laxmibai Sports Academy","Rani Laxmibai Sports Academy, Himeshwar sports complex lachhimipur,Mairwa,bihar","26 Apr 2026","https://maps.app.goo.gl/byYzXGfqpzXTDDkn8","Yes","Rani Laxmibai Sports Academy","Assigned"
"TRI-S6-001","Season 6","Madhya Pradesh","Gwalior","Gwalior city FC","Gwalior city FC, Football Ground Jiwaji Centreway
City Center, Jiwaji University, Mahalgaon, Gwalior, Madhya Pradesh 474011","30 Apr 2026","https://maps.app.goo.gl/AR1unF6CyTzXru7t5?g_st=aw","Yes","Gwalior City FC","Assigned"
"TRI-S6-001","Season 6","Chhattisgarh","Bhilai","Football Turf Ground","Football Turf Ground, Sector 2, Bhilai, Chhattisgarh","02 May 2026","https://maps.app.goo.gl/jAdtfsQb4BYZ72xS7?g_st=com.google.maps.preview.copy","Yes","Lemon Break FC","Assigned"
"TRI-S6-001","Season 6","Jharkhand","Pakur","District Level Stadium Bank Colony Pakur Jharkhand","District Level Stadium Bank Colony Pakur Jharkhand","02 May 2026","https://maps.app.goo.gl/xcaGeVfZTCuF89oq8?g_st=aw","Yes","Salience Foundation","Assigned"
"TRI-S6-001","Season 6","Jharkhand","Bundu","Ramesh Singh Munda Smarak + 2 High School","Ramesh Singh Munda Smarak + 2 High School, Bundu, Ranchi","10 May 2026","https://maps.app.goo.gl/YsAH9XdeZi51N2Rr5","Yes","Salience Foundation","Assigned"
"IKF-S6-002","Season 6","Goa","South Goa, Goa Super Cup","","South Goa, Goa Super Cup, Goa","11 May 2026","https://www.google.com/maps/search/?api=1&query=South%20Goa%2C%20Goa%20Super%20Cup%2C%20Goa","Yes","","Unassigned"
"IKF-S6-005","Season 6","Assam","Silchar","Joypur Block Ground","Joypur Block Ground, Rajabazar, Assam, 788107","31 May 2026","https://share.google/yrXdB5tpGXCGQPxQs","Yes","Robin Khaidem Academy FC","Assigned"
"IKF-S6-004","Season 6","Karnataka","Mangaluru","Smart City Nehru Maidan","Smart City Nehru Maidan","31 May 2026","https://maps.app.goo.gl/oyqH16gYiFzYoTeF7?g_st=aw","Yes","Goal Academy","Assigned"
"TRI-S6-001","Season 6","Uttar Pradesh","Bareilly","Sri Ram Murti Smarak College of Engineering and Technology Nanital Road","Sri Ram Murti Smarak College of Engineering and Technology Nanital Road, Bhojpuria, Bareilly","06 Jun 2026","https://maps.app.goo.gl/BzHBV5zqbMiPhU5A8?g_st=com.google.maps.preview.copy","Yes","RK Football Club","Assigned"
"IKF-S6-005","Season 6","Assam","Tinsukia","Margherita College","Margherita College, Segunbari, Assam, 786187","21 Jun 2026","https://share.google/QNwYwVM8izUQXLlZX","Yes","Baragolai Sports Academy Foundation","Assigned"
"IKF-S6-001","Season 6","Haryana","Fatehabad, Dhingsara","","Fatehabad, Dhingsara, Haryana","27 Jun 2026","https://www.google.com/maps/search/?api=1&query=Fatehabad%2C%20Dhingsara%2C%20Haryana","Yes","Dhingsara Football Club","Assigned"
"TRI-S6-001","Season 6","Uttar Pradesh","Ghaziabad","Dehradun Public School","Dehradun Public School, Madhuban Bapudham, Sadarpur, Ghaziabad, Uttar Pradesh 201013","27 Jun 2026","https://maps.app.goo.gl/7YvQE2cDUwKgKexv8","Yes","Memphis Tigers FC","Assigned"
"IKF-S6-006","Season 6","Madhya Pradesh","Singrauli","","Singrauli, Madhya Pradesh","03 Jul 2026","https://www.google.com/maps/search/?api=1&query=Singrauli%2C%20Madhya%20Pradesh","Yes","","Unassigned"
"IKF-S6-001","Season 6","Bihar","Begusarai","Yamuna Bhagat Stadium","Yamuna Bhagat Stadium, Barauni, Begusarai, Bihar - 851113","05 Jul 2026","https://maps.app.goo.gl/85Yio9bMRKuVjeJu6?g_st=ic","Yes","Kridanta","Assigned"
"IKF-S6-008","Season 6","Andhra Pradesh","Rajahmundry","","Rajahmundry, Andhra Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Rajahmundry%2C%20Andhra%20Pradesh","No","","Unassigned"
"IKF-S6-008","Season 6","Madhya Pradesh","Barwani","","Barwani, Madhya Pradesh","10 Jul 2026","https://www.google.com/maps/search/?api=1&query=Barwani%2C%20Madhya%20Pradesh","No","","Unassigned"
